Sell ID,Name,Type,Price
398,Javon Searless,All-Rounder,"1,00,00,000"
399,Apoorv Vijay Wankhade,Batsman,"1,00,00,000"
400,Ishank Jaggi,Batsman,"1,00,00,000"
401,Kieron Pollard,All-Rounder,"2,00,00,000"
402,Pradeep Sangwan,Bowler,"1,50,00,000"
403,Jean-Paul Duminy,All-Rounder,"1,00,00,000"
404,Saurabh Tiwary,Batsman,"2,00,00,000"
405,Tajinder Dhillon,All-Rounder,"2,00,00,000"
406,Akila Dhananjaya,Bowler,"2,00,00,000"
407,Nidheesh M D Dinesan,Bowler,"1,00,00,000"
408,Siddhesh Dinesh Lad,Batsman,"1,00,00,000"
409,Sharad Lumba,Batsman,"1,00,00,000"
410,Mohsin Khan,Bowler,"1,00,00,000"
411,Sanju Samson,Wicket Keeper,"2,00,00,000"
412,Krishnappa Gowtham,Bowler,"2,00,00,000"
413,Jos Buttler,Wicket Keeper,"1,00,00,000"
414,Ajinkya Rahane,Batsman,"1,00,00,000"
415,Darcy Short,All-Rounder,"1,00,00,000"
416,Dhawal Kulkarni,Bowler,"2,00,00,000"
417,Zahir Khan Pakteen,Bowler,"2,00,00,000"
418,Ben Laughlin,Bowler,"2,00,00,000"
419,Stuart Binny,All-Rounder,"2,00,00,000"
420,Anureet Singh,Bowler,"1,00,00,000"
421,Aryaman Vikram Birla,All-Rounder,"1,00,00,000"
422,Midhun S,All-Rounder,"1,00,00,000"
423,Prashant Chopra,Wicket Keeper,"1,00,00,000"
424,Jatin Saxena,All-Rounder,"1,00,00,000"
425,Ankit Sharma,All-Rounder,"1,00,00,000"
426,Yuzvendra Singh Chahal,Bowler,"2,00,00,000"
427,Brendon McCullum,Batsman,"1,00,00,000"
428,M.S. Washington Sundar,All-Rounder,"1,00,00,000"
429,Navdeep Saini,Bowler,"1,00,00,000"
430,Mohammed Siraj,Bowler,"1,00,00,000"
431,Colin De Grandhomme,All-Rounder,"1,00,00,000"
432,Parthiv Patel,Wicket Keeper,"1,70,00,000"
433,Moeen Ali,All-Rounder,"1,70,00,000"
434,Anirudha Ashok Joshi,All-Rounder,"1,00,00,000"
435,Rashid Khan Arman,Bowler,"2,00,00,000"
436,Siddarth Kaul,Bowler,"1,00,00,000"
437,Carlos Brathwaite,All-Rounder,"2,00,00,000"
438,Shakib Al Hasan,All-Rounder,"2,00,00,000"
439,Yusuf Pathan,All-Rounder,"1,90,00,000"
440,Shreevats Goswami,Wicket Keeper,"1,00,00,000"
441,Billy Stanlake,Batsman,"2,00,00,000"
442,Bipul Sharma,All-Rounder,"1,00,00,000"
443,Syed Mehdi Hasan,All-Rounder,"1,00,00,000"
444,Tanmay Agarwal,Batsman,"1,00,00,000"
445,Basil Thampi,Bowler,"2,00,00,000"
446,Manpreet Gony,Bowler,"2,00,00,000"
447,Munaf Patel,Bowler,"1,00,00,000"
448,Akshdeep Nath,All-Rounder,"10,00,000"
449,Shubam Agrawal,All-Rounder,"10,00,000"
450,Tejas Singh Baroka,Bowler,"10,00,000"
451,Chirag Suri,Batsman,"10,00,000"
452,Shelley Shaurya,Bowler,"10,00,000"
453,Matt Henry,Bowler,"2,00,00,000"
454,Martin Guptill,Batsman,"2,00,00,000"
455,Darren Sammy,All-Rounder,"1,00,00,000"
456,Darren Bravo,Batsman,"2,00,00,000"
457,Sayan Ghosh,Bowler,"10,00,000"
458,R. Sanjay Yadav,All-Rounder,"10,00,000"
459,Karn Sharma,All-Rounder,"1,00,00,000"
460,Krishnappa Gowtham,All-Rounder,"2,00,00,000"
461,Asela Gunarathna,Batsman,"1,00,00,000"
462,Manoj Tiwary,Batsman,"2,00,00,000"
463,Saurabh Kumar,Bowler,"10,00,000"
464,Milind Tandon,All-Rounder,"10,00,000"
465,Rahul Ajay Tripathi,All-Rounder,"10,00,000"
466,Aniket Choudhary,Bowler,"2,00,00,000"
467,Billy Stanlake,Bowler,"1,00,00,000"
468,Praveen Kumar,Bowler,"1,00,00,000"
469,Dale Steyn,Bowler,"1,00,00,000"
470,Dwayne Smith,All-Rounder,"1,00,00,000"
471,Andrew Tye,All-Rounder,"2,00,00,000"
472,Jaydev Shah,All-Rounder,"1,00,00,000"
473,Shivil Kaushik,Bowler,"10,00,000"
474,Sarabjit Ladda,Bowler,"10,00,000"
475,Umang Sharma,Batsman,"10,00,000"
476,Paras Dogra,Batsman,"10,00,000"
477,Kyle Abbott,Bowler,"1,00,00,000"
478,K.C. Cariappa,Bowler,"2,00,00,000"
479,Farhaan Behardien,All-Rounder,"1,00,00,000"
480,Armaan Jaffer,Batsman,"10,00,000"
481,John Hastings,Bowler,"1,30,00,000"
482,Rajagopal Sathish,All-Rounder,"1,00,00,000"
483,Manan Ajay Sharma,All-Rounder,"10,00,000"
484,Krunal Pandya,All-Rounder,"2,00,00,000"
485,Kishore Pramod Kamath,All-Rounder,"1,40,00,000"
486,Irfan Pathan,All-Rounder,"1,00,00,000"
487,Rajat Bhatia,All-Rounder,"2,00,00,000"
488,Scott Boland,Bowler,"2,00,00,000"
489,Peter Handscomb,Wicket Keeper,"1,00,00,000"
490,Rudra Pratap Singh,Bowler,"1,00,00,000"
491,Ishwar Chandra Pandey,Bowler,"1,00,00,000"
492,Jaskaran Singh,Bowler,"10,00,000"
493,Baba Aparajith,All-Rounder,"10,00,000"
494,Shane Watson,All-Rounder,"2,00,00,000"
495,Stuart Binny,All-Rounder,"2,00,00,000"
496,Samuel Badree,Bowler,"2,00,00,000"
497,Vikramjeet Malik,Bowler,"1,00,00,000"
498,Akshay Karnewar,All-Rounder,"10,00,000"
499,Vikas Tokas,Bowler,"10,00,000"
500,Ashish Nehra,Bowler,"2,00,00,000"
501,Barinder Singh Sran,Bowler,"1,20,00,000"
502,Abhimanyu Mithun,Bowler,"1,00,00,000"
